player_id,level,is_completed,prize
responsible-dinner444,Level 7,True,Rare Prize
glorious-coat266,Level 8,True,Common Prize
stupendous-education796,Level 15,True,Common Prize
hollow-craft478,Level 17,False,Common Prize
plastic-deer792,Level 26,False,Rare Prize
sudden-dirt342,Level 22,True,Rare Prize
glorious-coat266,Level 18,False,Common Prize
hollow-deer227,Level 12,False,Rare Prize
fierce-coat272,Level 16,False,Common Prize
glorious-dinner437,Level 26,True,Rare Prize
witty-apparatus620,Level 18,True,Common Prize
vivacious-carriage296,Level 25,True,Rare Prize
salty-current401,Level 1,True,Rare Prize
shocking-cast106,Level 11,False,Common Prize
plastic-dinner508,Level 27,True,Rare Prize
well-off-cast200,Level 2,False,Common Prize
aberrant-canvas533,Level 25,False,Rare Prize
redundant-cast954,Level 2,False,Common Prize
volatile-discussion917,Level 19,False,Legendary Prize
sudden-bead438,Level 1,False,Rare Prize
wonderful-direction158,Level 19,False,Legendary Prize
shocking-craft230,Level 19,True,Legendary Prize
glorious-dinner437,Level 17,True,Common Prize
salty-cast115,Level 7,True,Rare Prize
glib-bottle405,Level 19,False,Legendary Prize
responsible-development185,Level 21,False,Rare Prize
wary-current77,Level 23,True,Common Prize
aberrant-deer94,Level 25,False,Rare Prize
volatile-building910,Level 2,True,Common Prize
tall-cup865,Level 17,False,Common Prize
hollow-bait769,Level 29,False,Rare Prize
wary-attack73,Level 13,True,Rare Prize
sore-art510,Level 20,False,Rare Prize
tall-bead458,Level 4,False,Common Prize
hollow-afterthought131,Level 15,True,Common Prize
responsible-development200,Level 2,False,Common Prize
shocking-dirt958,Level 4,False,Common Prize
glorious-cheese21,Level 25,True,Rare Prize
quixotic-cast184,Level 23,True,Common Prize
stupendous-cheese652,Level 1,True,Rare Prize
aberrant-cabbage504,Level 28,False,Common Prize
wretched-direction504,Level 12,False,Rare Prize
redundant-ball989,Level 8,False,Common Prize
volatile-attack406,Level 13,False,Rare Prize
plastic-dime484,Level 9,False,Rare Prize
tall-cup442,Level 4,False,Common Prize
wary-current77,Level 1,True,Rare Prize
fierce-channel356,Level 11,True,Common Prize
wary-direction54,Level 24,True,Rare Prize
bent-afterthought36,Level 27,True,Rare Prize
wistful-canvas589,Level 9,False,Rare Prize
curious-advice25,Level 29,False,Rare Prize
glorious-dinner437,Level 16,False,Common Prize
aberrant-carriage344,Level 1,False,Rare Prize
curious-advice25,Level 27,True,Rare Prize
shocking-chess994,Level 25,True,Rare Prize
hollow-dime537,Level 20,True,Rare Prize
quixotic-cast184,Level 13,True,Rare Prize
stupendous-direction447,Level 25,True,Rare Prize
sudden-education415,Level 6,True,Common Prize
shocking-craft230,Level 20,False,Rare Prize
incandescent-development104,Level 2,True,Common Prize
hollow-cricket577,Level 7,False,Rare Prize
wary-building641,Level 22,True,Rare Prize
stupendous-education796,Level 21,True,Rare Prize
vivacious-attack680,Level 7,False,Rare Prize
sudden-dirt342,Level 8,True,Common Prize
glorious-education927,Level 27,False,Rare Prize
shocking-cabbage542,Level 16,False,Common Prize
incandescent-account865,Level 10,False,Common Prize
quixotic-cart363,Level 7,False,Rare Prize
wonderful-advice544,Level 27,False,Rare Prize
shocking-cabbage542,Level 14,False,Rare Prize
glib-cart503,Level 30,False,Legendary Prize
stupendous-cheese652,Level 9,True,Rare Prize
vivacious-carriage296,Level 28,True,Common Prize
wretched-direction504,Level 23,True,Common Prize
wary-current657,Level 25,True,Rare Prize
salty-current401,Level 19,True,Legendary Prize
wistful-celery380,Level 23,False,Common Prize
stupendous-canvas458,Level 24,False,Rare Prize
stupendous-ball306,Level 14,False,Rare Prize
tall-calculator104,Level 26,True,Rare Prize
hollow-chess205,Level 11,True,Common Prize
past-coat945,Level 23,False,Common Prize
quixotic-canvas507,Level 28,True,Common Prize
past-bottle13,Level 19,True,Legendary Prize
wonderful-advice544,Level 9,False,Rare Prize
vivacious-apparatus43,Level 28,True,Common Prize
plastic-damage514,Level 9,False,Rare Prize
wary-current657,Level 2,False,Common Prize
salty-bait99,Level 17,False,Common Prize
hollow-dime537,Level 29,False,Rare Prize
wonderful-bait44,Level 5,True,Common Prize
sudden-channel656,Level 16,True,Common Prize
redundant-bead6,Level 12,True,Rare Prize
wistful-advice169,Level 13,True,Rare Prize
stupendous-education369,Level 17,True,Common Prize
vivacious-deer925,Level 25,True,Rare Prize
wretched-cart637,Level 10,False,Common Prize
responsible-education132,Level 5,False,Common Prize
incandescent-canvas721,Level 28,True,Common Prize
glorious-building422,Level 1,False,Rare Prize
hollow-current204,Level 29,False,Rare Prize
quixotic-canvas507,Level 12,False,Rare Prize
volatile-attack406,Level 15,True,Common Prize
responsible-advice940,Level 23,False,Common Prize
hollow-afterthought131,Level 23,False,Common Prize
plastic-dinner508,Level 13,True,Rare Prize
salty-cable494,Level 16,True,Common Prize
hollow-bottle150,Level 23,False,Common Prize
wary-credit390,Level 26,True,Rare Prize
stupendous-direction447,Level 4,True,Common Prize
glib-cart503,Level 13,False,Rare Prize
past-chess681,Level 17,True,Common Prize
glib-air1,Level 10,False,Common Prize
redundant-bead6,Level 22,False,Rare Prize
redundant-credit74,Level 23,False,Common Prize
redundant-credit74,Level 13,True,Rare Prize
bent-credit123,Level 11,True,Common Prize
bent-credit123,Level 18,True,Common Prize
witty-bottle148,Level 10,True,Common Prize
hollow-deer227,Level 19,True,Legendary Prize
volatile-bead344,Level 2,False,Common Prize
witty-apparatus559,Level 3,False,Common Prize
quixotic-current580,Level 30,True,Legendary Prize
salty-current401,Level 10,True,Common Prize
shocking-development368,Level 12,True,Rare Prize
wretched-direction504,Level 10,True,Common Prize
hollow-current204,Level 22,False,Rare Prize
aberrant-canvas533,Level 24,False,Rare Prize
responsible-carriage673,Level 4,True,Common Prize
glib-cart503,Level 14,False,Rare Prize
hollow-dime829,Level 19,False,Legendary Prize
responsible-carriage673,Level 29,False,Rare Prize
salty-bait960,Level 26,True,Rare Prize
well-off-afterthought469,Level 2,False,Common Prize
vivacious-cup539,Level 7,True,Rare Prize
hollow-canvas378,Level 27,False,Rare Prize
glib-ball394,Level 8,False,Common Prize
hollow-air854,Level 1,True,Rare Prize
fierce-advice731,Level 11,False,Common Prize
zealous-answer832,Level 20,True,Rare Prize
aberrant-carriage344,Level 10,False,Common Prize
tense-current749,Level 28,False,Common Prize
tense-current749,Level 29,True,Rare Prize
wistful-advice169,Level 14,True,Rare Prize
wonderful-advice544,Level 3,False,Common Prize
zealous-apparatus778,Level 9,True,Rare Prize
well-off-cup317,Level 10,False,Common Prize
shocking-dirt958,Level 27,True,Rare Prize
responsible-advice44,Level 20,True,Rare Prize
tall-cup442,Level 16,True,Common Prize
hollow-deer227,Level 30,False,Legendary Prize
hollow-deer227,Level 23,False,Common Prize
vivacious-carriage296,Level 2,True,Common Prize
wistful-bait463,Level 23,False,Common Prize
